1,master-ball,大师球,必定能捉到野生宝可梦的，性能最好的球。,https://play.pokemonshowdown.com/sprites/itemicons/master-ball.png,
2,ultra-ball,高级球,比起超级球来更容易捉到宝可梦的，性能非常不错的球。,https://play.pokemonshowdown.com/sprites/itemicons/ultra-ball.png,
3,great-ball,超级球,比起精灵球来更容易捉到宝可梦的，性能还算不错的球。,https://play.pokemonshowdown.com/sprites/itemicons/great-ball.png,
4,poke-ball,精灵球,用于投向野生宝可梦并将其捕捉的球。它是胶囊样式的。,https://play.pokemonshowdown.com/sprites/itemicons/poke-ball.png,
5,safari-ball,狩猎球,曾在关都地区的狩猎地带以及神奥地区的大湿地被使用。是一种特殊的球。,https://play.pokemonshowdown.com/sprites/itemicons/safari-ball.png,
6,net-ball,捕网球,有点与众不同的球。能很容易地捕捉水属性和虫属性的宝可梦。,https://play.pokemonshowdown.com/sprites/itemicons/net-ball.png,
7,dive-ball,潜水球,有点与众不同的球。能很容易地捕捉生活在水世界里的宝可梦。,https://play.pokemonshowdown.com/sprites/itemicons/dive-ball.png,
8,nest-ball,巢穴球,有点与众不同的球。捕捉的野生宝可梦越弱，就会越容易捕捉。,https://play.pokemonshowdown.com/sprites/itemicons/nest-ball.png,
9,repeat-ball,重复球,有点与众不同的球。能很容易地捕捉以前曾捉到过的宝可梦。,https://play.pokemonshowdown.com/sprites/itemicons/repeat-ball.png,
10,timer-ball,计时球,有点与众不同的球。回合数花费得越多，宝可梦就会越容易捕捉。,https://play.pokemonshowdown.com/sprites/itemicons/timer-ball.png,
11,luxury-ball,豪华球,舒适宜居的球。捉到的野生宝可梦会变得非常容易和训练家亲密。,https://play.pokemonshowdown.com/sprites/itemicons/luxury-ball.png,
12,premier-ball,纪念球,有点珍贵的球。特制出来的某种纪念品。,https://play.pokemonshowdown.com/sprites/itemicons/premier-ball.png,
13,dusk-ball,黑暗球,有点与众不同的球。能很容易地在夜晚或洞窟等阴暗的地方捕捉宝可梦。,https://play.pokemonshowdown.com/sprites/itemicons/dusk-ball.png,
